Week,Sr,Day,Date,Task Assigned,Project Associated,Task Nature/Domain,Tools and Technologies Used,Conclusion/Learning,Github Repo Links
1,1,Monday,2-Sep-24,I have understood the Django project files structure and how to connect them to a SQL Server,Django Project Setup,Backend Development,"Django, SQL Server",Learned the organization of Django project files and how to link the project with SQL Server.,https://github.com/mutti-dev/reactNative_django.git
1,2,Tuesday,3-Sep-24,"Learned and implemented how to create API (PUT, DELETE, GET, POST) in Django",Django API Development,API Development,Django,Gained skills in creating different API functions in Django.,https://github.com/mutti-dev/reactNative_django.git
1,3,Wednesday,4-Sep-24,Set up the React Native environment and helped my fellows in debugging errors,React Native Environment Setup,Frontend Setup and Support,React Native,Set up React Native successfully and gained experience in troubleshooting setup errors.,
1,4,Thursday,5-Sep-24,Developed a basic app in React Native and 'GET' the data from the database through API,React Native App Development,Frontend Development,"React Native, Django API",Built a simple app and practiced getting data from the database using APIs.,
1,5,Friday,6-Sep-24,Applied CRUD operations in React Native app. Debugged errors while fetching data from API,React Native App Development,Frontend Development,"React Native, Django API",Learned to handle CRUD operations in React Native and solved API data-fetching issues,
2,8,Monday,9-Sep-24,Created an API for ChatGPT Vision in Django. This Django API is responsible for sending image data to ChatGPT,OpenAI Vision API Integration- Company Task,Backend Development,"Django, ChatGPT Vision API",Learned to build an API that can manage and send image data to ChatGPT Vision.,
2,9,Tuesday,10-Sep-24,Created an API for ChatGPT Text generation in Django. This Django API is responsible for sending text data to ChatGPT,GPT-powered Python Code Generation,Backend Development,"Django, ChatGPT API","Developed an API for sending text data to ChatGPT, gaining experience in text-based API interactions.",
2,10,Wednesday,11-Sep-24,Debugged errors in API sending image data,OpenAI Vision API Integration- Company Task,Backend Debugging,"Django, ChatGPT Vision API",Worked on resolving issues in the image data API to improve stability and functionality,
2,11,Thursday,12-Sep-24,Solved errors in the PUT method,OpenAI Vision API Integration- Company Task,Backend Debugging,Django,"Successfully resolved errors with the PUT method, improving the API’s update functionality.",
2,12,Friday,13-Sep-24,Developed React.js project and applied CRUD operations,React.js Project Development,Frontend Development,React.js,"Built a basic React project and implemented CRUD operations, reinforcing frontend development skills.",
3,15,Monday,16-Sep-24,Started implementation of image processing features (add/upload/view) in React Native,React Native App Image Processing,Frontend Development,React Native,"Began implementing image processing features, gaining initial experience with handling images in React Native.",
3,16,Tuesday,17-Sep-24,EID MILAD UN Nabi HOLIDAY,Leave,,,,
3,17,Wednesday,18-Sep-24,Completed the image processing feature implementation. Integrated JWT authentication for API endpoints,User Authentication API,Frontend and Backend Development,"React Native, Django, JWT Authentication",Finished image processing in the app and secured the API endpoints with JWT authentication.,
3,18,Thursday,19-Sep-24,"Added a simple authentication method for the API. Prepared the API for the Books, Library, Members entity in Django",Django API Development,Backend Development,"Django, Basic Authentication","Set up basic API authentication and created initial structure for managing Books, Library, and Members entities in Django",https://github.com/mutti-dev/reactNative_django.git
3,19,Friday,20-Sep-24,"Implemented the API for the Library, Members, and Books entity in Django. Ensured proper integration with React Native app",Full-stack Integration,Backend and Frontend Integration,"Django, React Native","Successfully implemented and integrated the Library, Members, and Books APIs with React Native, completing full-stack functionality.",https://github.com/mutti-dev/reactNative_django.git
4,22,Monday,23-Sep-24,Explore the concept of UseQuery in React Native,React Native Data Fetching,Frontend Development,"React Native, useQuery (likely from React Query)",Gained an understanding of useQuery for efficient data fetching and caching in React Native,
4,23,Tuesday,24-Sep-24,Leave,Leave,,,,
4,24,Wednesday,25-Sep-24,Developed a basic screen to fetch data from API through UseQuery/React Query,React Native Data Fetching,Frontend Development,"React Native, useQuery","Built a screen to fetch and display data using useQuery, applying the knowledge gained from Monday's exploration.",
4,25,Thursday,26-Sep-24,Worked on Django API for formatting Excel according to the given file,Excel Formatting Api Development - Company Task,Backend Development,"Django, Excel file handling libraries (e.g., openpyxl or pandas)","Started developing an API to format Excel files, learning about Excel processing in Django.",https://github.com/mutti-dev/Excel-Formatter-Django.git
4,26,Friday,27-Sep-24,Still working on Django API for date formatting Excel of all types - Assigned by Team Lead,Excel Formatting Api Development - Company Task,Backend Development,"Django, Excel file handling libraries","Progressed on date formatting in Excel files, improving understanding of Excel manipulations in Django",https://github.com/mutti-dev/Excel-Formatter-Django.git
5,29,Monday,30-Sep-24,Working on the API creation in Django for formatting the Excel sheet and extracting data,Excel Formatting Api Development - Company Task,Backend Development,"Django, Excel handling libraries (e.g., openpyxl or pandas)",Made progress on building an API for formatting and extracting data from Excel files.,https://github.com/mutti-dev/Excel-Formatter-Django.git
5,30,Tuesday,1-Oct-24,Working on the API creation in Django for formatting the Excel sheet and extracting data,Excel Formatting Api Development - Company Task,Backend Development,"Django, Excel handling libraries","Further developed the Excel formatting and extraction API, improving Excel handling skills.",https://github.com/mutti-dev/Excel-Formatter-Django.git
5,31,Wednesday,2-Oct-24,Working on the API creation in Django for formatting the Excel sheet and extracting data,Excel Formatting Api Development - Company Task,Backend Development,"Django, Excel handling libraries","Continued to refine and test the API, focusing on accurate data extraction and formatting.",https://github.com/mutti-dev/Excel-Formatter-Django.git
5,32,Thursday,3-Oct-24,API working fine and converting company Excel sheets into required formatted Excel sheets,Excel Formatting Api Development - Company Task,Backend Development,"Django, Excel handling libraries","API is now working as expected, successfully converting Excel files to the required format.",https://github.com/mutti-dev/Excel-Formatter-Django.git
5,33,Friday,4-Oct-24,"Working on issues (DOB should concatenate with Patient name, Codes auto-filling where it should be empty)",Excel Formatting Api Development - Company Task,Backend Debugging and Validation,"Django, Excel handling libraries","Addressed specific formatting and validation issues, focusing on accurate data representation in Excel.",https://github.com/mutti-dev/Excel-Formatter-Django.git
6,36,Monday,7-Oct-24,"Issue resolved (DOB should concatenate with Patient name, Codes auto-filling where it should be empty)",Excel Formatting Api Development - Company Task,Backend Debugging,"Django, Excel handling libraries",Successfully fixed the issues to ensure correct data formatting and presentation.,https://github.com/mutti-dev/Excel-Formatter-Django.git
6,37,Tuesday,8-Oct-24,Developed new logic to handle another type of Excel format,Excel Formatting Api Development - Company Task,Backend Development,"Django, Excel handling libraries","Started creating logic to accommodate different Excel formats, expanding the API’s versatility.",https://github.com/mutti-dev/Excel-Formatter-Django.git
6,38,Wednesday,9-Oct-24,Working to develop new logic to handle another type of Excel format,Excel Formatting Api Development - Company Task,Backend Development,"Django, Excel handling libraries","Progressed on supporting additional Excel formats, improving adaptability of the API.",https://github.com/mutti-dev/Excel-Formatter-Django.git
6,39,Thursday,10-Oct-24,Worked on some fixes asked by TL. API working fine and converting company Excel sheets (given 4 formats) into required formatted Excel sheets,Excel Formatting Api Development - Company Task,Backend Development and Debugging,"Django, Excel handling libraries","Finalized the API to handle multiple Excel formats as required, meeting project specifications.",https://github.com/mutti-dev/Excel-Formatter-Django.git
6,40,Friday,11-Oct-24,"Developed API endpoints for user signup, login in Django",User Authentication API,Backend Development,"Django, JWT or basic authentication","Successfully built user signup and login endpoints, adding basic user authentication functionality.",
